,rank,id,form_id,name,form,alias,move,move_rate,nature,nature_rate,ability,ability_rate,item,item_rate,terastal,terastal_rate
0987-000,1,987,0,ハバタクカミ,,ハバタクカミ,"['ムーンフォース', 'シャドーボール', 'パワージェム', 'マジカルフレイム', 'でんじは', 'テラバースト', 'ちょうはつ', 'めいそう', 'たたりめ', 'みがわり']","[95.0, 79.0, 41.5, 26.7, 24.4, 17.9, 17.2, 13.3, 12.8, 12.5]","['おくびょう', 'ずぶとい', 'ひかえめ', 'せっかち', 'むじゃき', 'ようき', 'おだやか', 'のんき', 'おっとり', 'てれや']","[89.5, 5.1, 4.0, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1]",['こだいかっせい'],[100.0],"['こだわりメガネ', 'ブーストエナジー', 'きあいのタスキ', 'いのちのたま', 'こだわりスカーフ', 'ジャポのみ', 'とつげきチョッキ', 'ラムのみ', 'たべのこし', 'オボンのみ']","[39.7, 36.1, 15.8, 3.0, 2.1, 0.8, 0.6, 0.4, 0.2, 0.1]","['フェアリー', 'ステラ', 'じめん', 'みず', 'ノーマル', 'ほのお', 'でんき', 'ゴースト', 'はがね', 'いわ']","[38.0, 28.3, 8.3, 7.7, 6.5, 3.7, 2.5, 2.3, 0.8, 0.6]"
1002-000,2,1002,0,パオジアン,,パオジアン,"['つららおとし', 'ふいうち', 'せいなるつるぎ', 'こおりのつぶて', 'かみくだく', 'テラバースト', 'ぜったいれいど', 'つるぎのまい', 'サイコファング', 'アイススピナー']","[95.9, 78.0, 67.7, 36.1, 30.5, 27.3, 23.9, 21.0, 7.9, 3.0]","['ようき', 'いじっぱり', 'むじゃき', 'せっかち', 'やんちゃ', 'さみしがり', 'わんぱく', 'おくびょう', 'しんちょう', 'おだやか']","[55.3, 42.5, 0.4, 0.3, 0.3, 0.2, 0.2, 0.1, 0.1, 0.1]",['わざわいのつるぎ'],[100.0],"['きあいのタスキ', 'こだわりハチマキ', 'いのちのたま', 'ラムのみ', 'こだわりスカーフ', 'オボンのみ', 'とつげきチョッキ', 'ゴツゴツメット', 'とけないこおり', 'くろいメガネ']","[76.4, 10.7, 7.1, 1.5, 1.3, 1.0, 0.5, 0.2, 0.1, 0.1]","['でんき', 'あく', 'ゴースト', 'こおり', 'ステラ', 'じめん', 'ほのお', 'どく', 'フェアリー', 'いわ']","[41.6, 20.0, 16.3, 8.4, 5.1, 3.5, 1.1, 0.9, 0.9, 0.7]"
0149-000,3,149,0,カイリュー,,カイリュー,"['しんそく', 'じしん', 'げきりん', 'りゅうのまい', 'アイアンヘッド', 'はねやすめ', 'スケイルショット', 'アンコール', 'テラバースト', 'からげんき']","[76.0, 72.5, 40.3, 33.0, 29.5, 27.7, 21.8, 20.2, 13.1, 10.1]","['いじっぱり', 'ようき', 'ずぶとい', 'わんぱく', 'ゆうかん', 'ひかえめ', 'おだやか', 'しんちょう', 'やんちゃ', 'おくびょう']","[75.0, 13.2, 4.4, 2.2, 1.4, 0.6, 0.5, 0.4, 0.3, 0.3]","['マルチスケイル', 'せいしんりょく']","[99.4, 0.6]","['こだわりハチマキ', 'いかさまダイス', 'ゴツゴツメット', 'あつぞこブーツ', 'たべのこし', 'ラムのみ', 'じゃくてんほけん', 'とつげきチョッキ', 'クリアチャーム', 'おんみつマント']","[45.3, 18.8, 8.9, 5.5, 4.2, 3.8, 3.4, 2.2, 2.2, 1.5]","['ノーマル', 'はがね', 'ひこう', 'フェアリー', 'じめん', 'でんき', 'みず', 'ほのお', 'ドラゴン', 'どく']","[61.2, 15.8, 12.3, 3.7, 3.0, 1.5, 0.6, 0.6, 0.5, 0.4]"
1003-000,4,1003,0,ディンルー,,ディンルー,"['じしん', 'カタストロフィ', 'ステルスロック', 'ふきとばし', 'ヘビーボンバー', 'しっぺがえし', 'テラバースト', 'じわれ', 'まきびし', 'じごくづき']","[87.1, 55.8, 51.5, 51.3, 44.1, 31.2, 21.6, 15.4, 10.5, 6.8]","['わんぱく', 'いじっぱり', 'しんちょう', 'ゆうかん', 'なまいき', 'のんき', 'ずぶとい', 'おだやか', 'ようき', 'まじめ']","[41.3, 33.5, 19.8, 1.4, 0.9, 0.8, 0.7, 0.3, 0.2, 0.1]",['わざわいのうつわ'],[100.0],"['とつげきチョッキ', 'オボンのみ', 'たべのこし', 'こだわりハチマキ', 'カゴのみ', 'ゴツゴツメット', 'フィラのみ', 'メンタルハーブ', 'レッドカード', 'じゃくてんほけん']","[42.9, 30.9, 20.7, 1.2, 0.7, 0.6, 0.6, 0.5, 0.5, 0.4]","['どく', 'フェアリー', 'はがね', 'みず', 'でんき', 'くさ', 'じめん', 'ほのお', 'ひこう', 'あく']","[41.8, 40.0, 6.5, 3.6, 2.9, 1.5, 1.2, 0.9, 0.8, 0.3]"
1017-000,5,1017,0,オーガポン,みどりのめん,オーガポン(みどり),"['ツタこんぼう', 'ウッドホーン', 'つるぎのまい', 'みがわり', 'やどりぎのタネ', 'アンコール', 'じゃれつく', 'はたきおとす', 'でんこうせっか', 'がんせきふうじ']","[97.6, 72.6, 34.5, 26.7, 26.2, 24.3, 21.8, 16.1, 13.7, 10.1]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'さみしがり', 'むじゃき', 'やんちゃ', 'せっかち', 'おくびょう', 'おだやか']","[49.6, 35.0, 6.3, 5.5, 3.2, 0.2, 0.1, 0.1, 0.1, 0.0]",['まけんき'],"[52.0, 26.8, 14.2, 6.9]","['こだわりハチマキ', 'いかさまダイス', 'きあいのタスキ', 'こだわりスカーフ', 'とつげきチョッキ', 'いのちのたま', 'たべのこし']","[33.9, 24.2, 16.1, 11.3, 6.5, 4.8, 3.2]",['くさ'],"[48.2, 30.3, 15.3, 6.3]"
1017-001,5,1017,1,オーガポン,いどのめん,オーガポン(いど),"['ツタこんぼう', 'ウッドホーン', 'つるぎのまい', 'みがわり', 'やどりぎのタネ', 'アンコール', 'じゃれつく', 'はたきおとす', 'でんこうせっか', 'がんせきふうじ']","[97.6, 72.6, 34.5, 26.7, 26.2, 24.3, 21.8, 16.1, 13.7, 10.1]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'さみしがり', 'むじゃき', 'やんちゃ', 'せっかち', 'おくびょう', 'おだやか']","[49.6, 35.0, 6.3, 5.5, 3.2, 0.2, 0.1, 0.1, 0.1, 0.0]",['ちょすい'],[100.0],['いどのめん'],[100.0],['みず'],[100.0]
1017-002,5,1017,2,オーガポン,かまどのめん,オーガポン(かまど),"['ツタこんぼう', 'ウッドホーン', 'つるぎのまい', 'みがわり', 'やどりぎのタネ', 'アンコール', 'じゃれつく', 'はたきおとす', 'でんこうせっか', 'がんせきふうじ']","[97.6, 72.6, 34.5, 26.7, 26.2, 24.3, 21.8, 16.1, 13.7, 10.1]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'さみしがり', 'むじゃき', 'やんちゃ', 'せっかち', 'おくびょう', 'おだやか']","[49.6, 35.0, 6.3, 5.5, 3.2, 0.2, 0.1, 0.1, 0.1, 0.0]",['かたやぶり'],[100.0],['かまどのめん'],[100.0],['ほのお'],[100.0]
1017-003,5,1017,3,オーガポン,いしずえのめん,オーガポン(いしずえ),"['ツタこんぼう', 'ウッドホーン', 'つるぎのまい', 'みがわり', 'やどりぎのタネ', 'アンコール', 'じゃれつく', 'はたきおとす', 'でんこうせっか', 'がんせきふうじ']","[97.6, 72.6, 34.5, 26.7, 26.2, 24.3, 21.8, 16.1, 13.7, 10.1]","['ようき', 'いじっぱり', 'わんぱく', 'しんちょう', 'さみしがり', 'むじゃき', 'やんちゃ', 'せっかち', 'おくびょう', 'おだやか']","[49.6, 35.0, 6.3, 5.5, 3.2, 0.2, 0.1, 0.1, 0.1, 0.0]",['がんじょう'],[100.0],['いしずえのめん'],[100.0],['いわ'],[100.0]
0645-001,6,645,1,ランドロス,れいじゅうフォルム,ランドロス(れいじゅう),"['じしん', 'とんぼがえり', 'ステルスロック', 'がんせきふうじ', 'テラバースト', 'ちょうはつ', 'いわなだれ', 'じわれ', 'かみくだく', 'ストーンエッジ']","[98.4, 90.3, 53.7, 52.8, 29.1, 27.5, 10.0, 8.2, 7.3, 6.8]","['わんぱく', 'ようき', 'いじっぱり', 'しんちょう', 'のんき', 'ゆうかん', 'なまいき', 'ずぶとい', 'むじゃき', 'てれや']","[29.6, 28.2, 23.4, 10.3, 2.8, 2.5, 1.8, 0.2, 0.1, 0.1]",['いかく'],[100.0],"['オボンのみ', 'こだわりスカーフ', 'ゴツゴツメット', 'とつげきチョッキ', 'こだわりハチマキ', 'きあいのタスキ', 'たべのこし', 'おんみつマント', 'ラムのみ', 'でんきだま']","[33.4, 24.6, 16.1, 11.9, 5.4, 4.5, 1.0, 0.6, 0.4, 0.3]","['ひこう', 'みず', 'はがね', 'ほのお', 'フェアリー', 'こおり', 'じめん', 'ノーマル', 'どく', 'でんき']","[32.6, 22.1, 18.5, 8.5, 7.9, 3.6, 3.0, 1.1, 0.6, 0.6]"
0898-002,7,898,2,バドレックス,こくばじょうのすがた,バドレックス(こくば),"['アストラルビット', 'ドレインキッス', 'サイコショック', 'テラバースト', 'アンコール', 'わるだくみ', 'みがわり', 'トリック', 'めいそう', 'サイコキネシス']","[99.8, 54.7, 40.1, 33.0, 29.9, 27.7, 24.7, 20.7, 17.4, 13.2]","['おくびょう', 'ひかえめ', 'せっかち', 'ずぶとい', 'むじゃき', 'ようき', 'おっとり', 'がんばりや', 'しんちょう', 'うっかりや']","[95.2, 3.5, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",['じんばいったい'],[100.0],"['きあいのタスキ', 'こだわりスカーフ', 'たべのこし', 'こだわりメガネ', 'いのちのたま', 'オボンのみ', 'ラムのみ', 'のろいのおふだ', 'あつぞこブーツ', 'とつげきチョッキ']","[30.6, 18.0, 15.0, 9.9, 9.1, 7.2, 3.1, 2.6, 0.9, 0.5]","['フェアリー', 'かくとう', 'ノーマル', 'ゴースト', 'くさ', 'じめん', 'みず', 'あく', 'ステラ', 'エスパー']","[62.3, 21.8, 3.9, 3.5, 2.9, 1.5, 1.4, 0.8, 0.5, 0.5]"
